mep_id,first_name,last_name,gender,date_of_birth,date_of_death,hometown,country_of_representation
1692,André,Fourçans,MALE,1946-03-07,,Nay,FRA
1889,Jürgen,Brand,MALE,1965-04-09,,Ingolstadt,DEU
96989,Andrés,Perelló Rodríguez,MALE,1957-07-01,,Buñol,ESP
330,Hellmut,Kalbitzer,MALE,1913-11-17,,Hamburg,DEU
36396,Gianluca,Susta,MALE,1956-04-10,,Biella,ITA
275,Jean,Laurain,MALE,1921-01-01,2008-03-07,Metz-Grigy,FRA
297,Alexander,Fletcher,MALE,1929-08-26,,Greenock Renfrewshire (Scotland),GBR
1748,Chrysanthos,Dimitriadis,MALE,1933-07-21,,Thessaloniki,GRC
1569,Olivier,LEFEVRE D'ORMESSON,MALE,1918-08-05,2012-10-24,Biarritz (Pyrénées-Atl.),FRA
197584,Sándor,Rónai,MALE,1988-11-22,,Budapest,HUN
4527,John,Bowis,MALE,1945-08-02,,Brighton,GBR
1078,Karl,Partsch,MALE,1922-01-29,2009-01-14,Bochum,DEU
96887,Francesco,De Angelis,MALE,1959-10-04,,Ripi,ITA
485,Willy,Dondelinger,MALE,1928-12-11,,Echternach,LUX
2098,Erhard,Meier,MALE,1939-09-24,,Eberswalde,AUT
1468,Pol M.E.E.,Marck,MALE,1930-12-06,2017-11-21,Péronnes-lez-Binche,BEL
1182,Solange,Fernex,FEMALE,1934-04-15,,Strasbourg,FRA
4242,Karin,Scheele,FEMALE,1968-07-22,,Baden,AUT
4490,Minerva Melpomeni,Malliori,FEMALE,1952-08-30,,Patras,GRC
1765,Dimitrios,Adamou,MALE,1914-10-20,,Pyrsoyanni Ioanninon,GRC
28227,Anja,Weisgerber,FEMALE,1976-03-11,,Schweinfurt,DEU
4252,Raina A. Mercedes,Echerer,FEMALE,1963-05-16,,Linz,AUT
2114,Per,Gahrton,MALE,1943-02-02,2023-09-19,Malmö,SWE
23805,Zita,Gurmai,FEMALE,1965-06-01,,Budapest,HUN
28587,Georgios,Karatzaferis,MALE,1947-08-11,,Athina,GRC
1817,Anne,André-Léonard,FEMALE,1948-11-16,,Schaerbeek,BEL
23938,John,Attard-Montalto,MALE,1953-02-07,,Sliema,MLT
129073,Urmas,Paet,MALE,1974-04-20,,Tallinn,EST
206,Jacques L.G.,Van Offelen,MALE,1916-10-18,,Isleworth (Grande-Bretagne),BEL
587,Heinrich,von Brentano,MALE,1904-06-20,,Offenbach (Main),DEU
1028,Philippe J.G.,Douste-Blazy,MALE,1953-01-01,,Lourdes,FRA
1183,Dagmar,Roth-Behrendt,FEMALE,1953-02-21,,Frankfurt/Main,DEU
2100,Andrea Carmine,De Simone,MALE,1954-10-27,,Montoro Inferiore,ITA
486,Jean,Bech,MALE,1926-09-28,1968-10-01,Diekirch,LUX
2180,Stylianos,Panagopoulos,MALE,1938-08-13,,Pireas,GRC
967,Gérard R.P.,Fuchs,MALE,1940-05-18,,Longjumeau,FRA
28221,Thomas,Ulmer,MALE,1956-07-25,,Karlsruhe,DEU
96900,Georgios,Papanikolaou,MALE,1977-08-15,,Athina,GRC
4360,Marie-Françoise,Garaud,FEMALE,1934-03-06,,Poitiers,FRA
113959,Martina,Anderson,FEMALE,1962-04-16,,,IRL
1292,Paul A.A.J.G.,Lannoye,MALE,1939-06-22,2021-12-04,Sprimont,BEL
1874,José,Apolinário,MALE,1962-07-22,,Pechão-Olhão,PRT
113,Henri,Rochereau,MALE,1908-03-25,,Chantonnay (Vendée),FRA
124964,Louise,Bours,FEMALE,1968-12-23,,Congleton,GBR
4357,Hervé,Novelli,MALE,1949-03-06,,Paris,FRA
1365,António Joaquim,MARQUES MENDES,MALE,1934-03-29,2015-06-15,"Paranhos, Porto",PRT
96847,Claudiu Ciprian,Tănăsescu,MALE,1965-07-19,,Bucureşti,ROU
2243,Odile,Leperre-Verrier,FEMALE,1950-10-18,,Orléans,FRA
197531,Gwendoline,Delbos-Corfield,FEMALE,1977-03-08,,,FRA
33570,Sharon,Bowles,FEMALE,1953-06-12,,Oxford,GBR
799,Jean A.F.,Lecanuet,MALE,1920-03-04,,Rouen,FRA
2151,Tommy,Waidelich,MALE,1963-09-13,,Stockholm,SWE
23873,Sergej,Kozlík,MALE,1950-07-27,,Bratislava,SVK
97022,Robert,Rochefort,MALE,1955-09-19,,,FRA
2102,Pierluigi,Castagnetti,MALE,1945-06-09,,Reggio Emilia,ITA
124796,David,Borrelli,MALE,1971-04-28,,Treviso,ITA
1525,Giuseppe,Schiavinato,MALE,1915-12-10,1996-06-25,Padova,ITA
188636,John,Howarth,MALE,1958-10-31,,Newcastle upon Tyne,GBR
197570,Peter,Kofod,MALE,1990-02-27,,Bornholm,DNK
197612,Annunziata Mary,Rees-Mogg,FEMALE,1979-03-25,,Bath,GBR
34253,Maria,Cappone,FEMALE,1969-04-08,,Plovdiv,BGR
1753,Michelangelo,Ciancaglini,MALE,1926-10-16,1988-06-06,Furci (CH),ITA
1869,Aline,Archimbaud,FEMALE,1948-11-02,,Belfort,FRA
1797,Jochen van,Aerssen,MALE,1941-04-15,,Kevelaer,DEU
96842,Ismail,Ertug,MALE,1975-12-05,,Amberg,DEU
4461,Luís,Queiró,MALE,1953-07-02,,Coimbra,PRT
2115,Holger,Gustafsson,MALE,1946-05-04,,Otterstad,SWE
28370,Vittorio,Prodi,MALE,1937-05-19,2023-07-30,Reggio Emilia,ITA
28161,Margrete,Auken,FEMALE,1945-01-06,,Arhus,DNK
581,Walter,Eckhardt,MALE,1906-03-23,,Homburg,DEU
1935,Wolfgang,Kreissl-Dörfler,MALE,1950-12-01,,Augsburg,DEU
197773,Bert-Jan,Ruissen,MALE,1972-03-22,,Reimerswaal,NLD
23894,Anna,Záborská,FEMALE,1948-06-07,,Zürich,SVK
197621,Juan Ignacio,Zoido Álvarez,MALE,1957-01-21,,Montellano - Sevilla,ESP
93543,Andrzej,Wielowieyski,MALE,1927-12-16,,Warszawa,POL
28497,Gerard,Batten,MALE,1954-03-27,,London,GBR
96879,Hella,Ranner,FEMALE,1951-05-10,,Graz,AUT
996,Francesco,Corleone,MALE,1946-09-29,,Milano,ITA
96824,Monica,Macovei,FEMALE,1959-02-04,,Bucureşti,ROU
125090,Sotirios,Zarianopoulos,MALE,1961-02-16,,Thessaloniki,GRC
124928,Richard,Sulík,MALE,1968-01-12,,Bratislava,SVK
198183,Mihai,Tudose,MALE,1967-03-06,,Braila,ROU
1488,Rudolf,Wedekind,MALE,1938-08-04,2016-11-30,Hannover,DEU
4393,Mario,Mauro,MALE,1961-07-24,,S. Giovanni Rotondo,ITA
938,Gaetano,ARFE',MALE,1925-11-12,2007-09-13,Somma Vesuviana (Napoli),ITA
140,G.M.,Nederhorst,MALE,1907-10-17,,Gouda,NLD
124808,Norbert,Lins,MALE,1977-12-22,,Ravensburg,DEU
1960,Luis,Sá,MALE,1952-02-12,,Lubango (Angola),PRT
28437,Riccardo,Ventre,MALE,1944-06-20,,Formicola (CE),ITA
96998,Evelyn,Regner,FEMALE,1966-01-24,,Wien,AUT
623,Lucien R.J.G.,Harmegnies,MALE,1916-02-12,,Flawinne,BEL
197760,Martin Edward,Daubney,MALE,1970-06-22,,Nottingham,GBR
2337,Ozan,Ceyhun,MALE,1960-10-10,,Adana (Turkei),DEU
758,Charles-Ferdinand,Nothomb,MALE,1936-05-03,2023-04-19,Bruxelles,BEL
28362,Jaime,Mayor Oreja,MALE,1951-07-12,,San Sebastian,ESP
789,Erwin,Lange,MALE,1914-05-10,,Essen,DEU
33946,Andrzej Tomasz,Zapałowski,MALE,1966-11-06,,Wałbrzych,POL
857,Dimitrios,Frangos,MALE,1935-06-06,,Athina,GRC
23701,Vladimír,Laštůvka,MALE,1943-06-08,,Stražnice,CZE
1573,Jørgen Brøndlund,Nielsen,MALE,1939-08-02,,Ålborg,DNK
4444,António José,Seguro,MALE,1962-03-11,,Penamacor,PRT
2131,Monica Stefania,Baldi,FEMALE,1959-04-26,,Pistoia,ITA
1293,Karel A.H.A.M.,Pinxten,MALE,1952-07-19,,Overpelt,BEL
22418,Esther,Herranz García,FEMALE,1969-07-03,,Logroño,ESP
33978,Cristian,Dumitrescu,MALE,1955-04-24,,Bucureşti,ROU
34233,Iglika,Ivanova,FEMALE,1957-04-25,,Sofia,BGR
197576,Sylvie,Brunet,FEMALE,1959-03-12,,Versailles,FRA
404,John,Brewis,MALE,1920-04-08,,Scarborough,GBR
1961,Jean,Gol,MALE,1942-02-08,1995-09-18,Hammersmith (Grande-Bretagne),BEL
124960,Ian,Duncan,MALE,1973-02-13,,Dundee,GBR
125024,Barbara,Kappel,FEMALE,1965-02-16,,Reith i. A.,AUT
96701,María,Muñiz De Urquiza,FEMALE,1962-08-05,,Gijón,ESP
987,Nicolas,Estgen,MALE,1930-02-28,2019-12-26,Dudelange,LUX
4305,Lennart,Sacrédeus,MALE,1957-06-17,,Ronneby,SWE
197551,Stéphane,Bijoux,MALE,1970-10-08,,Saint-Denis (Reunion),FRA
97004,Ivars,Godmanis,MALE,1951-11-27,,Rīga,LVA
28381,João de Deus,Pinheiro,MALE,1945-07-11,,Lisboa,PRT
635,Albert,De Gryse,MALE,1911-03-17,,Wevelgem,BEL
4433,Stefano,Zappala',MALE,1941-02-06,2018-04-15,Acibonaccorsi,ITA
1571,Wolfgang,von Nostitz,MALE,1940-02-28,,Bern,DEU
756,Harry A.C.M.,Notenboom,MALE,1926-08-31,,Roosendaal,NLD
350,Helmut,Kater,MALE,1927-08-30,,Danzig,DEU
1647,Vincenzo,GIUMMARRA,MALE,1923-05-09,2010-10-27,Ragusa,ITA
4290,Emilia Franziska,Müller,FEMALE,1951-09-28,,Schwandorf,DEU
124784,Dan,Nica,MALE,1960-07-02,,Panciu,ROU
313,Tarcisio,Longoni,MALE,1913-02-28,,Brugherio (Milano),ITA
625,Jean,Duvieusart,MALE,1900-04-10,,Frasnes-les-Gosselies,BEL
28194,Ambroise,Guellec,MALE,1941-03-26,,Peumerit,FRA
197403,Alex,Agius Saliba,MALE,1988-01-31,,Pieta,MLT
1320,Xavier,Rubert de Ventós,MALE,1939-09-01,,Barcelona,ESP
929,Fernand,Boden,MALE,1943-09-13,,Echternach,LUX
2296,Sirkka-Liisa,Anttila,FEMALE,1943-12-20,,Marttila,FIN
2172,Angela Theodora,Billingham,FEMALE,1939-07-31,,Liverpool,GBR
204418,Nora,Mebarek,FEMALE,1972-07-22,,Port-Saint-Louis-du-Rhône,FRA
388,Raffaele,Guariglia,MALE,1889-02-19,,Napoli,ITA
524,François,Duval,MALE,1903-08-10,,Vauclin (Martinique),FRA
652,Anne,Vondeling,MALE,1916-03-02,,Appelscha (Frl.),NLD
850,Vincenzo,Gatto,MALE,1922-05-01,2005-10-11,Messina,ITA
1105,Franco,Iacono,MALE,1942-02-04,,Forio/Isola d'Ischia,ITA
92,Hermann,Spillecke,MALE,1924-05-15,,Homberg (Niederrhein),DEU
96950,Liem,Hoang Ngoc,MALE,1964-12-11,,Saïgon,FRA
96815,Judith,Sargentini,FEMALE,1974-03-13,,Amsterdam,NLD
251859,Guy,Lavocat,MALE,1963-02-14,,Pondichery,FRA
294,Hans,Lautenschlager,MALE,1901-07-21,,Stekene,DEU
124758,Mylène,Troszczynski,FEMALE,1972-05-16,,Chauny,FRA
1533,Walter,Rosa,MALE,1919-11-20,,Lisboa,PRT
1315,Alan John,Donnelly,MALE,1957-07-16,,Jarrow,GBR
1898,Erika,Mann,FEMALE,1950-11-02,,Leipzig,DEU
356,Maarten Boudewijn,Engwirda,MALE,1943-06-04,,,NLD
707,Casimir J. Prinz zu,Sayn-Wittgenstein-Berleburg,MALE,1917-01-22,,Frankfurt/Main,DEU
124869,Gianluca,Buonanno,MALE,1966-05-15,2016-06-05,Borgo Sesia (VC),ITA
125035,Lola,Sánchez Caldentey,FEMALE,1978-03-17,,Valencia,ESP
124883,Krystyna,Łybacka,FEMALE,1946-02-10,2020-04-20,Jutrosin,POL
197492,Bartosz,Arłukowicz,MALE,1971-12-30,,Resko,POL
1688,Anne-Marie A.,Lizin,FEMALE,1949-01-05,,Huy,BEL
341,Wilhelm,de Gaay Fortman,MALE,1911-05-08,,Amsterdam,NLD
23707,Libor,Rouček,MALE,1954-09-04,,Kladno,CZE
197781,Malik,Azmani,MALE,1976-01-20,,Heerenveen,NLD
197675,Sarah,Wiener,FEMALE,1962-08-27,,HALLE,AUT
349,Hans Edgar,Jahn,MALE,1914-11-21,,Neustettin (Pommern),DEU
1035,Charles E.,BAUR,MALE,1929-12-20,2015-01-02,Paris,FRA
97002,Christophe,Béchu,MALE,1974-06-11,,Angers,FRA
2325,Luciano,Schifone,MALE,1949-08-09,,Potenza,ITA
1178,Christine Margaret,ODDY,FEMALE,1955-09-20,2014-07-26,Coventry,GBR
23746,Vytautas,Landsbergis,MALE,1932-10-18,,Kaunas,LTU
641,Gustaaf,Breyne,MALE,1914-02-16,,Wervik,BEL
197441,Predrag Fred,Matić,MALE,1962-06-02,,Pozega,HRV
96639,Isabelle,Durant,FEMALE,1954-09-04,,Bruxelles,BEL
952,Aymeri,de Montesquiou Fezensac,MALE,1942-07-07,,Marsan (Gers),FRA
4528,Neil,Parish,MALE,1956-05-26,,Bridgwater,GBR
26621,Jacqueline,Rousseaux,FEMALE,1950-05-21,,Uccle (Bruxelles),BEL
1311,Gary,Titley,MALE,1950-01-19,,Salford,GBR
633,Roger,De Kinder,MALE,1919-06-06,,Gand,BEL
251324,Krzysztof,Brejza,MALE,1983-05-16,,Bydgoszcz,POL
867,Mauro,FERRI,MALE,1920-03-14,2015-09-29,Roma,ITA
460,Libero,Della Briotta,MALE,1925-03-28,,Ponte di Valtellina (Sondrio),ITA
2314,Olivier,Duhamel,MALE,1950-05-02,,Neuilly-sur-Seine,FRA
761,David Lancaster,Nicolson,MALE,1922-09-20,,London,GBR
1715,Lionel,Jospin,MALE,1937-07-12,,Meudon (Hauts-de Seine),FRA
96931,Maurice,Ponga,MALE,1947-06-05,,Kouaoua (Nouvelle-Calédonie),FRA
5689,Brigitte,Wenzel-Perillo,FEMALE,1949-02-24,,Bösdorf,DEU
28224,Markus,Pieper,MALE,1963-05-15,,Hameln,DEU
188622,Rupert,Matthews,MALE,1961-12-05,,Dorking,GBR
1264,Ingo,Friedrich,MALE,1942-01-24,,Kutno,DEU
1403,David,Martin,MALE,1954-08-26,,Edinburgh,GBR
28199,Gábor,Harangozó,MALE,1975-09-27,,Budapest,HUN
124876,Rikke-Louise,Karlsson,FEMALE,1965-04-29,,"Svenstrup, Aalborg",DNK
23847,Luděk,Sefzig,MALE,1957-02-15,,Rokycany,CZE
96899,José Manuel,Fernandes,MALE,1967-07-26,,Vila Verde,PRT
96784,Janusz,Zemke,MALE,1949-02-24,,Kowalewo,POL
28320,Ivo,Strejček,MALE,1962-01-11,,Nové Město na Moravě,CZE
4488,Petros,Efthymiou,MALE,1950-03-27,,Larisa,GRC
124734,Cláudia,Monteiro de Aguiar,FEMALE,1982-04-08,,Funchal,PRT
4443,Mário,Soares,MALE,1924-12-07,2017-01-07,Lisboa,PRT
96830,Enikő,Győri,FEMALE,1968-07-17,,Budapest,HUN
1549,Luis Guillermo,Perinat Elio,MALE,1923-10-27,,Madrid,ESP
476,Hans,Furler,MALE,1904-06-05,,Lahr (Baden),DEU
197798,Lucia,Vuolo,FEMALE,1963-02-15,,Pagani,ITA
198490,Emmanouil,Fragkos,MALE,1993-06-27,,Chios,GRC
1057,Claudia,Roth,FEMALE,1955-05-15,,Ulm,DEU
23690,Miroslav,Beneš,MALE,1956-04-05,,Strakonice,CZE
124851,Nicola,Caputo,MALE,1966-03-04,,Teverola (CE),ITA
136,Schelto,Patijn,MALE,1936-08-13,,Den Haag,NLD
28329,Pier Luigi,Bersani,MALE,1951-09-29,,Bettola (PC),ITA
96776,Róża,Thun und Hohenstein,FEMALE,1954-04-13,,Kraków,POL
143,Georges,Pianta,MALE,1912-03-02,,Thonon-les-Bains,FRA
4281,Jürgen,Zimmerling,MALE,1952-02-17,2005-10-08,Oberhausen,DEU
197788,Anna,Bonfrisco,FEMALE,1962-10-12,,Riva del Garda,ITA
28170,Peter,Šťastný,MALE,1956-09-18,,Bratislava,SVK
38847,Catherine,Neris,FEMALE,1962-06-09,,Paris,FRA
1796,Jean E.,Crusol,MALE,1943-09-20,,Sainte-Luce (Martinique),FRA
478,Børge,Halvgaard,MALE,1921-09-14,,Aarslev,DNK
951,Nicolas,Alfonsi,MALE,1936-04-13,,Cargèse (Corse),FRA
4341,Hugues,Martin,MALE,1942-01-02,,Macon,FRA
1506,Frederick A.,Tuckman,MALE,1922-06-09,2017-07-06,Magdeburg,GBR
28230,Vural,Öger,MALE,1942-02-01,,Ankara (Türkei),DEU
96999,Alexander,Mirsky,MALE,1964-03-20,,Vilna,LVA
753,Kjeld,Olesen,MALE,1932-07-08,,København,DNK
2082,Mark Francis,Watts,MALE,1964-06-11,,London,GBR
197589,Laurence,Farreng,FEMALE,1966-09-06,,Nimes,FRA
26829,Siiri,Oviir,FEMALE,1947-11-03,,Tallinn,EST
1421,Peter,Beazley,MALE,1922-06-09,2004-12-23,Chale (Isle of Wight),GBR
1146,John C.C.,Stevens,MALE,1955-05-23,,"Washington DC, USA",GBR
28148,Françoise,Castex,FEMALE,1956-02-07,,Agadir,FRA
124,Heinrich,Schild,MALE,1895-10-22,,Wuppertal,DEU
379,Heinrich,Imig,MALE,1893-07-23,,Essen-Steele,DEU
4457,Fernando,Reis,MALE,1949-11-23,,Barcelos,PRT
2160,João,Soares,MALE,1949-08-29,,Lisboa,PRT
96884,Philippe,Juvin,MALE,1964-02-01,,,FRA
23740,Mindaugas,Bastys,MALE,1965-01-29,,Săkiai,LTU
38606,Mariela Velichkova,Baeva,FEMALE,1964-10-22,,Sofia,BGR
185619,Tiemo,Wölken,MALE,1985-12-05,,,DEU
899,Yannis,Coutsocheras,MALE,1904-12-25,,Ziria (Patra),GRC
28116,Marian,Harkin,FEMALE,1953-11-26,,Sligo,IRL
503,Franco,Boiardi,MALE,1931-03-28,,Reggio Emilia,ITA
1085,Pierre,Carniti,MALE,1936-09-25,2018-06-05,Castelleone (Cremona),ITA
5956,Regina,Bastos,FEMALE,1960-11-04,,Veiros-Estarreja,PRT
197667,Barbara,Thaler,FEMALE,1982-02-16,,Kufstein,AUT
110984,Joseph,Cuschieri,MALE,1968-02-20,,Attard,MLT
1623,Claus,Toksvig,MALE,1929-10-21,1988-11-05,København,DNK
458,Antonio,Daniele,MALE,1903-04-06,,Gagliano del Capo (Lecce),ITA
1329,Juan de Dios,Ramírez Heredia,MALE,1942-06-29,,Puerto Real (Cádiz),ESP
33995,Silvia,Ciornei,FEMALE,1970-08-27,,Ploieşti,ROU
121,Cristoforo,Ricci,MALE,1921-06-30,,Circello (Benevento),ITA
1860,Peter,Thietz,MALE,1934-07-12,,Löbau,DEU
197395,Alice,Kuhnke,FEMALE,1971-12-21,,Malmö,SWE
586,Hans,Dichgans,MALE,1907-05-16,,Wuppertal-Elberfeld,DEU
945,Nicole,Fontaine,FEMALE,1942-01-16,2018-05-17,Grainville-Ymauville (Seine-Maritime),FRA
1336,Eduardo,Punset I Casals,MALE,1936-11-20,2019-05-22,Barcelona,ESP
28422,Alfredo,Antoniozzi,MALE,1956-03-18,,Cosenza,ITA
38542,Johan,Danielsson,MALE,1982-06-30,,Borlange,SWE
96805,Paul,Nuttall,MALE,1976-11-30,,Liverpool,GBR
552,Jean-Eric,Bousch,MALE,1910-09-30,,Forbach (Moselle),FRA
28127,Lena,Ek,FEMALE,1958-01-16,,Mönsterås,SWE
188718,Christelle,Letard-Lechevalier,FEMALE,1968-09-27,,Falaise,FRA
28129,Inger,Segelström,FEMALE,1952-02-25,,Stockholm,SWE
2229,Bernd,Posselt,MALE,1956-06-04,,Pforzheim,DEU
111018,Salvador,Sedó i Alabart,MALE,1969-04-03,,Reus,ESP
28862,Lydie,Polfer,FEMALE,1952-11-22,,Luxembourg,LUX
1359,José,Álvarez De Paz,MALE,1935-11-19,2021-02-16,Noceda del Bierzo (Léon),ESP
239262,Elisabetta,De Blasis,FEMALE,1974-04-30,,Avezzano,ITA
1147,José Ramón,Caso Garcia,MALE,1946-09-17,,Madrid,ESP
23759,Grażyna  Jolanta,Ciemniak,FEMALE,1948-06-20,,Torvń,POL
97236,Marie,Toussaint,FEMALE,1987-05-27,,LILLE,FRA
4324,François,Bayrou,MALE,1951-05-25,,Bordères,FRA
197749,Caroline,Voaden,FEMALE,1968-11-22,,Wantage,GBR
304,Ernest Alan,Fitch,MALE,1915-03-10,,New Tredegar (Wales),GBR
197490,Magdalena,Adamowicz,FEMALE,1973-04-10,,Slupsk,POL
97078,Ramón,Jáuregui Atondo,MALE,1948-09-01,,San Sebastian,ESP
504,Paolo,Bonomi,MALE,1910-06-06,,Romentino (Novara),ITA
739,Eggert,Petersen,MALE,1927-05-26,,Bovrup,DNK
337,John,Evans,MALE,1930-10-19,,Aylesham (Kent),GBR
936,Gustave,Ansart,MALE,1923-03-05,,Roubaix,FRA
4283,Kurt,Lechner,MALE,1942-10-26,,Kaiserslautern,DEU
124586,Balázs,Hidvéghi,MALE,1970-11-28,,Budapest,HUN
132366,Pirkko,Ruohonen-Lerner,FEMALE,1957-02-06,,Hyvinkää,FIN
96802,Jacek,Włosowicz,MALE,1966-01-25,,Skalbmierz,POL
197681,Sira,Rego,FEMALE,1973-11-20,,Valencia,ESP
24942,Ana,Miranda,FEMALE,1971-05-02,,Cuntis,ESP
956,Leo C.,Tindemans,MALE,1922-04-15,2014-12-26,Zwijndrecht,BEL
23778,Jan Walenty,Tomaka,MALE,1949-01-15,,Nowa Wieś,POL
937,Vincent F.M.,Ansquer,MALE,1925-01-11,,Treize-Septiers (Vendée),FRA
1195,Jacques,Vernier,MALE,1944-07-03,,Paris,FRA
96707,Ágnes,Hankiss,FEMALE,1950-03-07,2021-08-17,Budapest,HUN
2126,Kyösti,Toivonen,MALE,1937-09-25,,Jääski,FIN
2265,MaLou,Lindholm,FEMALE,1948-10-18,,Stockholm,SWE
859,Renzo Eligio,Filippi,MALE,1935-09-18,2001-06-03,Portogruaro (Venezia),ITA
96654,Jaroslav,Paška,MALE,1954-06-20,2021-07-15,Banská Štiavnica,SVK
4431,Francesco,Rutelli,MALE,1954-06-14,,Roma,ITA
23785,Andrzej,Grzyb,MALE,1956-08-23,,Siedlików,POL
2064,Eryl Margaret,McNally,FEMALE,1942-04-11,,"Bangor, Gwynedd",GBR
